Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
BCRX,"BioCryst Pharmaceuticals, Inc.",1.64B,7.90,0.38%,412.58M
WBTN,WEBTOON Entertainment Inc.,1.64B,12.75,-0.86%,1.33B
ARCO,Arcos Dorados Holdings Inc.,1.63B,7.75,-1.15%,4.50B
MAG,MAG Silver Corp.,1.63B,15.80,-2.95%,-
SSRM,SSR Mining Inc.,1.63B,8.03,-1.59%,1.10B
DBD,"Diebold Nixdorf, Incorporated",1.63B,43.29,-0.39%,3.80B
CLDX,"Celldex Therapeutics, Inc.",1.62B,24.49,-3.05%,9.98M
EPC,Edgewell Personal Care Company,1.62B,33.30,-1.77%,2.25B
TROX,Tronox Holdings plc,1.62B,10.27,-0.87%,3.08B
NN,NextNav Inc.,1.62B,12.43,5.97%,4.96M
OPRA,Opera Limited,1.62B,18.32,-2.61%,447.82M
NTB,The Bank of N.T. Butterfield & Son Limited,1.62B,36.69,-0.43%,573.10M
PBI,Pitney Bowes Inc.,1.62B,8.91,0.56%,3.22B
VRE,"Veris Residential, Inc.",1.62B,15.94,-0.31%,293.37M
PCT,"PureCycle Technologies, Inc.",1.62B,9.31,-1.59%,-
TNC,Tennant Company,1.61B,85.52,-1.70%,1.27B
LOB,"Live Oak Bancshares, Inc.",1.61B,35.49,0.14%,402.94M
CODI,Compass Diversified,1.61B,21.25,-1.25%,2.22B
KEN,Kenon Holdings Ltd.,1.61B,30.73,-0.39%,742.80M
DESP,"Despegar.com, Corp.",1.61B,19.22,0.21%,756.30M
TWFG,"TWFG, Inc.",1.61B,28.68,-1.95%,194.21M
UPBD,"Upbound Group, Inc.",1.60B,29.34,-1.87%,4.26B
RDW,Redwire Corporation,1.60B,23.92,5.05%,298.03M
NWN,Northwest Natural Holding Company,1.60B,39.92,-0.20%,1.14B
MNKD,MannKind Corporation,1.60B,5.79,-3.02%,267.20M
EVO,Evotec SE,1.59B,4.520,0.67%,866.67M
FSM,Fortuna Mining Corp.,1.59B,5.07,0.40%,1.03B
DXPE,"DXP Enterprises, Inc.",1.59B,101.29,-1.72%,1.74B
APLD,Applied Digital Corporation,1.59B,7.12,-3.52%,211.62M
NHC,National HealthCare Corporation,1.59B,102.67,2.33%,1.22B
PEB,Pebblebrook Hotel Trust,1.58B,13.13,-1.20%,1.45B
VRNT,Verint Systems Inc.,1.58B,25.38,-1.13%,920.75M
