Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
SVCO,"Silvaco Group, Inc.",246.21M,8.65,0.82%,54.31M
CIA,"Citizens, Inc.",246.04M,4.930,-1.40%,248.38M
NWFL,Norwood Financial Corp.,245.74M,26.62,2.15%,48.37M
WHF,"WhiteHorse Finance, Inc.",245.45M,10.56,0.38%,97.44M
LRMR,"Larimar Therapeutics, Inc.",245.02M,3.840,-3.27%,-
CCCC,"C4 Therapeutics, Inc.",244.94M,3.470,-5.71%,33.67M
FINW,FinWise Bancorp,244.80M,18.53,11.49%,69.82M
ARBE,Arbe Robotics Ltd.,244.22M,2.560,6.22%,1.02M
EVI,"EVI Industries, Inc.",243.35M,17.34,-2.69%,359.11M
UHG,"United Homes Group, Inc.",243.11M,4.150,-6.95%,445.73M
ALTG,Alta Equipment Group Inc.,242.77M,7.30,-1.62%,1.90B
CGC,Canopy Growth Corporation,242.71M,1.990,-5.24%,207.63M
FACT,FACT II Acquisition Corp,241.76M,10.02,-,-
AVNW,"Aviat Networks, Inc.",241.75M,19.05,1.93%,409.60M
LFMD,"LifeMD, Inc.",241.25M,5.57,-2.96%,193.06M
NTWO,Newbury Street II Acquisition Corp,241.16M,10.04,0.20%,-
DBI,Designer Brands Inc.,241.08M,5.03,-1.95%,3.05B
TBI,"TrueBlue, Inc.",240.91M,8.15,0.12%,1.67B
ABEO,Abeona Therapeutics Inc.,240.83M,5.54,1.28%,-
CHMG,Chemung Financial Corporation,240.55M,50.55,-1.66%,97.34M
PKBK,"Parke Bancorp, Inc.",240.54M,20.24,-,62.28M
RCEL,"AVITA Medical, Inc.",240.54M,9.10,-3.91%,60.04M
LANV,Lanvin Group Holdings Limited,240.51M,2.050,4.59%,409.96M
AOMR,"Angel Oak Mortgage REIT, Inc.",240.29M,10.22,0.10%,94.44M
BKKT,"Bakkt Holdings, Inc.",240.07M,17.56,-3.78%,1.91B
CATX,"Perspective Therapeutics, Inc.",239.94M,3.550,-6.82%,1.56M
FF,FutureFuel Corp.,238.95M,5.46,-1.27%,273.84M
TSBK,"Timberland Bancorp, Inc.",238.80M,30.02,-0.43%,75.33M
SANG,Sangoma Technologies Corporation,238.58M,7.00,-4.50%,244.41M
BWFG,"Bankwell Financial Group, Inc.",237.97M,31.18,-1.49%,64.38M
EVBN,"Evans Bancorp, Inc.",237.78M,43.36,0.05%,82.01M
AMRN,Amarin Corporation plc,237.10M,0.576,-0.89%,241.02M
THRD,"Third Harmonic Bio, Inc.",237.01M,5.26,-1.68%,-
ALCO,"Alico, Inc.",235.88M,30.89,-1.37%,46.64M
IAUX,i-80 Gold Corp.,235.47M,0.566,-0.28%,52.94M
NGNE,Neurogene Inc.,235.45M,15.85,2.06%,925.00K
IRBT,iRobot Corporation,235.00M,7.69,1.72%,817.36M
HBB,Hamilton Beach Brands Holding Company,234.49M,17.11,-4.41%,647.83M
