Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
BOKF,BOK Financial Corporation,7.08B,110.42,-0.54%,2.03B
UFPI,"UFP Industries, Inc.",7.02B,115.65,-2.26%,6.71B
CORT,Corcept Therapeutics Incorporated,7.01B,66.92,-4.26%,628.56M
CVLT,"Commvault Systems, Inc.",7.01B,159.26,0.86%,943.87M
CWAN,"Clearwater Analytics Holdings, Inc.",7.00B,28.16,-1.09%,424.36M
HCP,"HashiCorp, Inc.",6.99B,34.20,-0.15%,654.89M
LEGN,Legend Biotech Corporation,6.99B,38.10,2.36%,520.18M
WFG,West Fraser Timber Co. Ltd.,6.99B,86.78,-1.41%,6.28B
BWA,BorgWarner Inc.,6.98B,31.90,-2.89%,14.17B
FMC,FMC Corporation,6.96B,55.78,-1.06%,4.17B
BILI,Bilibili Inc.,6.95B,16.72,-4.95%,3.63B
SPSC,"SPS Commerce, Inc.",6.94B,184.68,0.67%,611.82M
WAY,Waystar Holding Corp.,6.92B,40.19,-3.25%,906.14M
JXN,Jackson Financial Inc.,6.92B,94.24,-2.59%,4.06B
DJT,Trump Media & Technology Group Corp.,6.91B,31.86,0.82%,3.37M
FCN,"FTI Consulting, Inc.",6.90B,195.35,-1.71%,3.73B
ADT,ADT Inc.,6.90B,7.68,-1.03%,5.14B
WTS,"Watts Water Technologies, Inc.",6.89B,206.78,-0.24%,2.26B
SPXC,"SPX Technologies, Inc.",6.89B,148.52,0.79%,1.92B
CHRD,Chord Energy Corporation,6.87B,112.45,-2.81%,4.45B
CHH,"Choice Hotels International, Inc.",6.86B,147.33,-0.22%,779.01M
WSC,WillScot Holdings Corporation,6.85B,37.06,0.24%,2.41B
CGNX,Cognex Corporation,6.84B,39.90,0.45%,881.50M
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",6.83B,111.51,-1.22%,2.25B
VOYA,"Voya Financial, Inc.",6.83B,70.99,0.28%,7.86B
JBTM,JBT Marel Corporation,6.83B,133.00,3.22%,1.69B
CWST,"Casella Waste Systems, Inc.",6.81B,107.54,-1.26%,1.49B
DINO,HF Sinclair Corporation,6.80B,36.08,-0.55%,29.74B
PJT,PJT Partners Inc.,6.80B,164.97,0.07%,1.35B
BYD,Boyd Gaming Corporation,6.78B,76.65,-1.49%,3.84B
LLYVK,Liberty Live Group,6.75B,73.59,0.55%,-
R,"Ryder System, Inc.",6.74B,159.41,-1.85%,12.47B
RLI,RLI Corp.,6.72B,73.35,-0.39%,1.77B
LLYVA,Liberty Live Group,6.71B,71.97,0.56%,-
ZWS,Zurn Elkay Water Solutions Corporation,6.69B,39.44,0.36%,1.55B
TMHC,Taylor Morrison Home Corporation,6.67B,64.46,-3.18%,7.83B
VMI,"Valmont Industries, Inc.",6.65B,331.76,-0.67%,4.05B
COOP,Mr. Cooper Group Inc.,6.64B,103.81,-3.03%,1.98B
OMF,"OneMain Holdings, Inc.",6.63B,55.54,-3.22%,2.50B
UGI,UGI Corporation,6.60B,30.73,-0.84%,7.21B
AWI,"Armstrong World Industries, Inc.",6.58B,151.01,-0.75%,1.39B
RHI,Robert Half Inc.,6.58B,64.79,0.31%,5.80B
TKC,Turkcell Iletisim Hizmetleri A.S.,6.57B,7.39,-,3.32B
RMBS,Rambus Inc.,6.57B,61.62,0.67%,517.75M
FSK,FS KKR Capital Corp.,6.55B,23.39,1.21%,1.76B
TRNO,Terreno Realty Corporation,6.52B,65.42,-0.32%,365.40M
STWD,"Starwood Property Trust, Inc.",6.52B,19.35,0.10%,436.46M
FAF,First American Financial Corporation,6.51B,63.22,-0.96%,5.87B
MSA,MSA Safety Incorporated,6.48B,164.73,-0.40%,1.80B
ZK,ZEEKR Intelligent Technology Holding Limited,6.47B,26.14,-1.06%,9.91B
MTG,MGIC Investment Corporation,6.47B,25.54,-0.66%,1.19B
TIMB,TIM S.A.,6.47B,13.24,-0.75%,4.61B
BBIO,"BridgeBio Pharma, Inc.",6.47B,34.21,-4.89%,217.77M
CADE,Cadence Bank,6.46B,35.20,-0.17%,1.72B
LNTH,"Lantheus Holdings, Inc.",6.43B,92.51,-0.30%,1.50B
SITE,"SiteOne Landscape Supply, Inc.",6.42B,142.30,-0.87%,4.49B
COTY,Coty Inc.,6.38B,7.33,-2.01%,6.15B
MTN,"Vail Resorts, Inc.",6.37B,170.12,-1.09%,2.89B
MMSI,"Merit Medical Systems, Inc.",6.35B,108.88,-1.28%,1.33B
NFG,National Fuel Gas Company,6.34B,70.03,-0.41%,1.97B
JOBY,"Joby Aviation, Inc.",6.32B,8.26,0.36%,1.11M
BMI,"Badger Meter, Inc.",6.29B,213.91,2.56%,826.56M
MAT,"Mattel, Inc.",6.28B,18.64,-2.20%,5.35B
STAG,"STAG Industrial, Inc.",6.28B,34.18,-0.48%,751.37M
BZ,Kanzhun Limited,6.27B,14.41,-6.25%,1.01B
KEX,Kirby Corporation,6.27B,109.15,-2.65%,3.27B
SRAD,Sportradar Group AG,6.26B,20.98,-1.64%,1.17B
ESI,Element Solutions Inc,6.25B,25.81,0.04%,2.41B
RHP,"Ryman Hospitality Properties, Inc.",6.25B,104.84,-0.76%,2.34B
MARA,"MARA Holdings, Inc.",6.22B,18.34,-4.38%,598.75M
COLD,"Americold Realty Trust, Inc.",6.21B,21.85,-0.77%,2.68B
QFIN,"Qifu Technology, Inc.",6.19B,39.90,-5.43%,2.45B
VIRT,"Virtu Financial, Inc.",6.19B,40.06,0.98%,2.22B
ESNT,Essent Group Ltd.,6.19B,58.25,-1.27%,1.18B
ETSY,"Etsy, Inc.",6.18B,54.91,-2.05%,2.80B
POST,"Post Holdings, Inc.",6.18B,106.16,-1.48%,7.92B
ALTM,Arcadium Lithium plc,6.17B,5.74,-,900.60M
TLX,Telix Pharmaceuticals Limited,6.16B,18.60,1.92%,430.80M
BRFS,BRF S.A.,6.14B,3.750,-,10.70B
ARW,"Arrow Electronics, Inc.",6.13B,116.55,-0.38%,28.49B
CACC,Credit Acceptance Corporation,6.12B,507.77,-1.22%,928.20M
STVN,Stevanato Group S.p.A.,6.12B,22.41,2.19%,1.22B
BLCO,Bausch + Lomb Corporation,6.11B,17.35,-1.70%,4.68B
NUVL,"Nuvalent, Inc.",6.10B,85.81,-2.21%,-
